De quelle filiale du groupe Nestlé George Clooney est-il devenu le séduisant ambassadeur ?;Jacques Vabre;Carte Noire;Ricoré;Nespresso;4
Quelle marque de jeans mondialement connue fabrique le célèbre 501 ?;Diesel;Lee Cooper;C17;Levis;4
Une marque de whisky écossais extrêmement populaire se nomme Johnnie...;Walker;Parker;Bunker;Monster;1
Quelle marque vous invite à savourer « un café nommé désir » ?;Jacques Vabre;Ricoré;Nespresso;Carte Noire;4
Quelle marque vous garantit « le goût des choses simples » ?;Buitoni;Herta;Maggi;Purina;2
Quelle grande marque de matériel informatique a pour logo une pomme ?;IBM;Apple;Acer;Dell;2
Quelle enseigne vous invite à rester « tous unis contre la vie chère » ?;Super U;Cora;Intermarché;Carrefour;3
De quelle poudre chocolatée pourriez-vous avoir « une énorme envie » ?;Ovomaltine;Milka;Banania;Nesquik;4
« Secouez-moi, secouez-moi » a longtemps été le slogan de quelle grande marque ?;Orangina;Pepsi;Coca-Cola;Schweppes;1
Quel détaillant vous invite au « pays où la vie est moins chère » ?;Conforama;Bricoman;Darty;Pixmania;1
Quelle marque spécialisée en eaux minérales a pour logo un volcan de couleur verte ?;Evian;Volvic;Henniez;Thonon;2
Quel assureur européen, cinquième gestionnaire d'actifs au monde, est « avec vous de A à Z » ?;Axa;Generali;Allianz;Aviva;3
Quelle marque de parfum doit en partie sa célébrité à Marilyn Monroe ?;Lancôme;Gucci;Chanel;Cacharel;3
La Cayenne est un modèle de quelle marque automobile allemande ?;Mercedes;Porsche;Volkswagen;Audi;2
La publicité de quelle marque de chocolat a été inspirée par la couleur mauve ?;Milka;Kwatta;Smarties;Treets;1
Quelle entreprise française vous propose son « contrat de confiance » ?;Virgin;Orange;Free;Darty;4
Quel emblème est utilisé dans toutes les stations de la marque Shell ?;Un lion rouge;Un coquillage jaune;Un trèfle vert;Un soleil bleu;2
Par quoi est représenté le logo de la marque Adidas, spécialisée dans les articles de sport ?;Deux bandes;Trois cercles;Trois bandes;Trois losanges;3
Quel animal est représenté sur les vêtements de la marque Lacoste ?;Un crocodile;Un ours;Un taureau;Un chameau;1
Quelle bière belge utilise comme slogan « Les hommes savent pourquoi » ?;Jupiler;Maes;Stella Artois;Gueuze;1
Quel acteur a réalisé certaines publicités de la marque Orangina ?;Thierry Lhermitte;Michel Blanc;Gérard Jugnot;Alain Chabat;4
Créée en 1971, quelle est « la plus chaude des boissons froides » ?;Gini;Nestea;Canada Dry;Schweppes;1
Quelle chaîne de magasins française est un « agitateur de curiosité » ?;Virgin;Fnac;HMV;Sony;2
Quelle marque de café avait pour emblème un serveur noir avec un turban ?;Négresco;Ricoré;Melita;Barista;1
Quelle marque a fabriqué les premiers mouchoirs en papier jetables ?;Labell;Lotus;Kleenex;Renova;3
À quelle marque française de bière doit-on le slogan « Quatre chiffres. Une bière. » ?;1832;1789;1515;1664;4
Quelle marque de surf a été inspirée, pour son logo, par une estampe japonaise ?;Quiksilver;Oxbow;Rip Curl;Rusty;1
Quel gouverneur hollandais a donné son nom à des cigarettes blondes ?;Pieter Codde;Pieter de Graeff;Pieter Stuyvesant;Pieter De Grebber;3
Quel bouquet satellite vous propose « le meilleur du numérique » ?;SFR;TPS;Canalsat;Bouygues;3
Quelle compagnie aérienne « fait du ciel le plus bel endroit de la terre » ?;Air Corsica;Air France;Airbus Transport;Twin Jet;2
